company_name,domain,industry,country,tier,max_contacts_per_run,targeting_profiles
China Suntien Green Energy,suntien.com,oil and gas,China,,10,
COSCO Shipping Energy,cosco-shipping.com,oil and gas,China,,10,
China National Petroleum Corporation,cnpc.com.cn,oil and gas,China,,10,
Sinopec,sinopecgroup.com,oil and gas,China,,10,
Guanghui Energy,guanghui.com,oil and gas,China,,10,
Ecopetrol,ecopetrol.com.co,oil and gas,Colombia,,10,
INA d.d.,ina.hr,oil and gas,Croatia,,10,
Moravské naftové doly (MND),mnd.eu,oil and gas,Czech Republic,,10,
Petroecuador,eppetroecuador.ec,oil and gas,Ecuador,,10,
Neste,neste.com,oil and gas,Finland,,10,
Engie,engie.com,oil and gas,France,,10,
Schlumberger,slb.com,oil and gas,France,,10,
TechnipFMC,technipfmc.com,oil and gas,France,,10,
TotalEnergies,totalenergies.com,oil and gas,France,,10,
Wintershall Dea,wintershalldea.com,oil and gas,Germany,,10,
Hellenic Petroleum,helleniqenergy.gr,oil and gas,Greece,,10,
Motor Oil Hellas,moh.gr,oil and gas,Greece,,10,
MOL,mol.hu,oil and gas,Hungary,,10,
Bharat Petroleum,bharatpetroleum.in,oil and gas,India,,10,
Hindustan Petroleum,hindustanpetroleum.com,oil and gas,India,,10,
Indian Oil,iocl.com,oil and gas,India,,10,
ONGC,ongcindia.com,oil and gas,India,,10,
Reliance Industries,ril.com,oil and gas,India,,10,
Pertamina,pertamina.com,oil and gas,Indonesia,,10,
National Iranian Oil Company,nioc.ir,oil and gas,Iran,,10,
Iraq National Oil Company,inoc.gov.iq,oil and gas,Iraq,,10,
BAZAN Group,bazan.co.il,oil and gas,Israel,,10,
Delek,delek-group.com,oil and gas,Israel,,10,
Paz Oil Company,paz.co.il,oil and gas,Israel,,10,
Eni,eni.com,oil and gas,Italy,,10,
Saras S.p.A.,saras.it,oil and gas,Italy,,10,
Cosmo Oil Company,cosmo-oil.co.jp,oil and gas,Japan,,10,
Eneos Holdings,hd.eneos.co.jp,oil and gas,Japan,,10,
Idemitsu Kosan,idemitsu.com,oil and gas,Japan,,10,
Inpex,inpex.co.jp,oil and gas,Japan,,10,
KazMunayGas,kmg.kz,oil and gas,Kazakhstan,,10,
Kuwait Petroleum Corporation,kpc.com.kw,oil and gas,Kuwait,,10,
National Oil Corporation,noc.ly,oil and gas,Libya,,10,
Petronas,petronas.com,oil and gas,Malaysia,,10,
Pemex,pemex.com,oil and gas,Mexico,,10,
Myanma Oil and Gas Enterprise,moge.gov.mm,oil and gas,Myanmar,,10,
SBM Offshore,sbmoffshore.com,oil and gas,Netherlands,,10,
Royal Vopak,vopak.com,oil and gas,Netherlands,,10,
Nigerian National Petroleum Corporation,nnpcgroup.com,oil and gas,Nigeria,,10,
Aker BP,akerbp.com,oil and gas,Norway,,10,
Equinor,equinor.com,oil and gas,Norway,,10,
OQ,oq.com,oil and gas,Oman,,10,
Petroleum Development Oman,pdo.co.om,oil and gas,Oman,,10,
Pakistan State Oil,psopk.com,oil and gas,Pakistan,,10,
Grupa Lotos,lotos.pl,oil and gas,Poland,,10,
PGNiG,pgnig.pl,oil and gas,Poland,,10,
PKN Orlen,orlen.pl,oil and gas,Poland,,10,
Galp Energia,galp.com,oil and gas,Portugal,,10,
Nakilat,nakilat.com,oil and gas,Qatar,,10,
QatarEnergy,qatarenergy.qa,oil and gas,Qatar,,10,
OMV Petrom,omvpetrom.com,oil and gas,Romania,,10,
Gazprom,gazprom.com,oil and gas,Russia,,10,
Lukoil,lukoil.com,oil and gas,Russia,,10,
Novatek,novatek.ru,oil and gas,Russia,,10,
Rosneft,rosneft.com,oil and gas,Russia,,10,
Sovcomflot,scf-group.com,oil and gas,Russia,,10,
Surgutneftegas,surgutneftegas.ru,oil and gas,Russia,,10,
Tatneft,tatneft.com,oil and gas,Russia,,10,
Transneft,transneft.ru,oil and gas,Russia,,10,
Bahri,bahri.sa,oil and gas,Saudi Arabia,,10,
Saudi Aramco,aramco.com,oil and gas,Saudi Arabia,,10,
Sasol,sasol.com,oil and gas,South Africa,,10,
GS Caltex,gscaltex.com,oil and gas,South Korea,,10,
Korea National Oil Corporation,knoc.co.kr,oil and gas,South Korea,,10,
SK Innovation,skinnovation.com,oil and gas,South Korea,,10,
CEPSA,cepsa.com,oil and gas,Spain,,10,
Repsol,repsol.com,oil and gas,Spain,,10,
Lundin Energy,lundin-energy.com,oil and gas,Sweden,,10,
Puma Energy,pumaenergy.com,oil and gas,Switzerland,,10,
CPC Corporation,cpc.com.tw,oil and gas,Taiwan,,10,
Formosa Petrochemical,fpcc.com.tw,oil and gas,Taiwan,,10,
PTT,pttplc.com,oil and gas,Thailand,,10,
Trinidad Petroleum Holdings,tpholdings.tt,oil and gas,Trinidad and Tobago,,10,
TPAO,tpao.gov.tr,oil and gas,Turkey,,10,
Naftogaz,naftogaz.com,oil and gas,Ukraine,,10,
Abu Dhabi National Oil Company,adnoc.ae,oil and gas,United Arab Emirates,,10,
Emirates National Oil Company,enoc.com,oil and gas,United Arab Emirates,,10,
BP,bp.com,oil and gas,United Kingdom,,10,
Centrica,centrica.com,oil and gas,United Kingdom,,10,
Harbour Energy,harbourenergy.com,oil and gas,United Kingdom,,10,
Neptune Energy,neptuneenergy.com,oil and gas,United Kingdom,,10,
Shell,shell.com,oil and gas,United Kingdom,,10,
Tullow Oil,tullowoil.com,oil and gas,United Kingdom,,10,
APA Corporation,apacorp.com,oil and gas,United States,,10,
Cheniere Energy,cheniere.com,oil and gas,United States,,10,
Chesapeake Energy,chk.com,oil and gas,United States,,10,
Chevron Corporation,chevron.com,oil and gas,United States,,10,
Civitas Resources,civitasresources.com,oil and gas,United States,,10,
ConocoPhillips,conocophillips.com,oil and gas,United States,,10,
Coterra Energy,coterra.com,oil and gas,United States,,10,
Devon Energy,devonenergy.com,oil and gas,United States,,10,
Energy Transfer Partners,energytransfer.com,oil and gas,United States,,10,
Enterprise Products,enterpriseproducts.com,oil and gas,United States,,10,
EOG Resources,eogresources.com,oil and gas,United States,,10,
EQT Corporation,eqt.com,oil and gas,United States,,10,
Equitrans Midstream,equitransmidstream.com,oil and gas,United States,,10,
ExxonMobil,exxonmobil.com,oil and gas,United States,,10,
HF Sinclair,hfsinclair.com,oil and gas,United States,,10,
Hess Corporation,hess.com,oil and gas,United States,,10,
Kinder Morgan,kindermorgan.com,oil and gas,United States,,10,
Magellan Midstream Partners,magellanlp.com,oil and gas,United States,,10,
Marathon Petroleum,marathonpetroleum.com,oil and gas,United States,,10,
Northern Oil & Gas,northernoil.com,oil and gas,United States,,10,
Occidental Petroleum,oxy.com,oil and gas,United States,,10,
Oneok,oneok.com,oil and gas,United States,,10,
Ovintiv,ovintiv.com,oil and gas,United States,,10,
PBF Energy,pbfenergy.com,oil and gas,United States,,10,
PDC Energy,pdce.com,oil and gas,United States,,10,
Phillips 66,phillips66.com,oil and gas,United States,,10,
Plains All American Pipeline,plainsallamerican.com,oil and gas,United States,,10,
Talos Energy,talosenergy.com,oil and gas,United States,,10,
Targa Resources,targaresources.com,oil and gas,United States,,10,
Valero Energy,valero.com,oil and gas,United States,,10,
Williams Companies,williams.com,oil and gas,United States,,10,
Uzbekneftegaz,un.uz,oil and gas,Uzbekistan,,10,
PDVSA,pdvsa.com,oil and gas,Venezuela,,10,
Petrovietnam,pvn.vn,oil and gas,Vietnam,,10,
